DATE,52WK HIGH,52WK LOW,SECTOR,COMPANY, ISIN  CODE, STATUS,BID,ASK,HIGH,LOW,PREVIOUS PRICE,VOLUME,TOTAL NO OF SHARES ISSUED,MRT CAP ,VWAP,10 % up, 10% down 
12/7/2023,275,120,AGRICULTURAL,Williamson Tea Kenya Plc Ord 5.00AIMS,KE0000000505,cd,230,231.5,231.5,231,231.25,"1,500","17,512,640","4,054,176,160",231.5,254.65,208.35
12/7/2023,49,21.3,AUTOMOBILES & ACCESSORIES,Car & General (K) Ltd Ord 5.00,KE0000000109,,22.6,24,24,24,25.1,300,"80,206,616","1,924,958,784",24,26.4,21.6
12/7/2023,13,10,BANKING,ABSA Bank Kenya Plc Ord 0.50,KE0000000067,,11.4,11.5,11.7,11.4,11.4,"62,300","5,431,536,000","62,191,087,200",11.45,12.6,10.31
12/7/2023,37,26.5,BANKING,BK Group Plc Ord 0.80,KE5000008986,xd,33,36,,,36,-,"896,759,222","32,283,331,992",36,39.6,32.4
12/7/2023,55.5,43.05,BANKING,Diamond Trust Bank Kenya Ltd Ord 4.00,KE0000000158,,45,45.5,46,45,45.25,"1,300","279,602,220","12,679,960,677",45.35,49.89,40.82
12/7/2023,50,35,BANKING,Equity Group Holdings Plc Ord 0.50,KE0000000554,,37.4,37.5,38,37.4,37.4,"9,200","3,773,674,802","142,456,223,776",37.75,41.53,33.98
12/7/2023,5.2,2.8,BANKING,HF Group Plc Ord 5.00,KE0000000240,,3.5,3.6,3.6,3.5,3.59,"9,300","384,614,168","1,380,764,863",3.59,3.95,3.23
12/7/2023,21.5,15.8,BANKING,I&M Group Plc Ord 1.00,KE0000000125,,17.45,17.5,17.5,17.35,17.2,"2,300","1,653,621,476","28,855,694,756",17.45,19.2,15.71
12/7/2023,43,15,BANKING,KCB Group Plc Ord 1.00,KE0000000315,,19.2,19.25,19.5,19.1,19.25,"189,000","3,213,462,815","62,019,832,330",19.3,21.23,17.37
12/7/2023,42,28.5,BANKING,NCBA Group Plc Ord 5.00,KE0000000406,,38.05,39.5,39.5,38.05,38.7,"12,000","1,647,519,532","64,088,509,795",38.9,42.79,35.01
12/7/2023,132,90,BANKING,Stanbic Holdings Plc ord.5.00,KE0000000091,,104,105,105,104,104.25,"400,100","395,321,638","41,508,771,990",105,115.5,94.5
12/7/2023,172.5,134,BANKING,Standard Chartered Bank Kenya Ltd Ord 5.00,KE0000000448,cd,160.5,164.5,165,160.5,163.75,"3,500","377,861,629","61,591,445,527",163,179.3,146.7
12/7/2023,14,10.1,BANKING,The Co-operative Bank of Kenya Ltd Ord 1.00,KE1000001568,,11,11.2,11.45,10.95,11.05,"323,100","5,867,174,695","65,712,356,584",11.2,12.32,10.08
12/7/2023,0.45,0.45,COMMERCIAL AND SERVICES,Deacons (East Africa) Plc Ord 2.50AIMS,KE5000005438,S,,,,,0.45,-,"123,558,228","55,601,203",0.45,0.5,0.41
12/7/2023,1.88,0.59,COMMERCIAL AND SERVICES,Eveready East Africa Ltd Ord.1.00,KE0000000588,,,1.15,1.15,1.15,1.2,"2,100","210,000,000","241,500,000",1.15,1.27,1.04
12/7/2023,5.4,2.7,COMMERCIAL AND SERVICES,Express Kenya Plc Ord 5.00AIMS,KE0000000224,,,3.99,,,3.99,-,"47,711,481","190,368,809",3.99,4.39,3.59
12/7/2023,4.66,4.66,COMMERCIAL AND SERVICES,Homeboyz Entertainment Plc 0.50GEMS,KE7000001433,,4.66,,,,4.66,-,"63,200,000","294,512,000",4.66,5.13,4.19
12/7/2023,3.83,3.83,COMMERCIAL AND SERVICES,Kenya Airways Ltd Ord 1.00,KE0000000307,S,,,,,3.83,-,"5,681,738,063","21,761,056,781",3.83,4.21,3.45
12/7/2023,4.1,2,COMMERCIAL AND SERVICES,Longhorn Publishers Plc Ord 1.00AIMS,KE2000002275,,2.35,2.47,,,2.25,-,"272,440,473","612,991,064",2.25,2.48,2.03
12/7/2023,5,2.22,COMMERCIAL AND SERVICES,Nairobi Business Ventures Plc Ord. 0.50GEMS,KE5000000090,,2.35,,2.47,2.47,2.25,300,"1,353,711,934","3,343,668,477",2.47,2.72,2.22
12/7/2023,21.75,14,COMMERCIAL AND SERVICES,Nation Media Group Plc Ord. 2.50,KE0000000380,,20,20.5,20.5,20,20,"5,300","190,295,163","3,805,903,260",20,22,18
12/7/2023,3.51,1.8,COMMERCIAL AND SERVICES,Sameer Africa Plc Ord 5.00,KE0000000232,,2.2,2.4,,,2.2,-,"278,342,393","612,353,265",2.2,2.42,1.98
12/7/2023,14.3,5.96,COMMERCIAL AND SERVICES,Standard Group Plc Ord 5.00,KE0000000455,,,7.06,,,7.84,-,"81,731,808","640,777,375",7.84,8.62,7.06
12/7/2023,16.4,10.85,COMMERCIAL AND SERVICES,TPS Eastern Africa Ltd Ord 1.00,KE0000000539,,12.7,13.4,13.45,13,12.25,"26,400","182,174,108","2,368,263,404",13,14.3,11.7
12/7/2023,0.29,0.16,COMMERCIAL AND SERVICES,Uchumi Supermarket Plc Ord 5.00,KE0000000489,,,0.18,0.21,0.18,0.2,"25,200","364,959,616","69,342,327",0.19,0.21,0.17
12/7/2023,3.7,1.94,COMMERCIAL AND SERVICES,WPP Scangroup Plc Ord 1.00,KE0000000562,,2.06,2.23,2.23,2.06,2.05,400,"432,155,985","929,135,368",2.15,2.37,1.94
12/7/2023,5.55,5.55,CONSTRUCTION & ALLIED,ARM Cement Plc Ord 1.00,KE0000000034,S,,,,,5.55,-,"959,940,200","5,327,668,110",5.55,6.11,5
12/7/2023,40.5,21.3,CONSTRUCTION & ALLIED,Bamburi Cement Plc Ord 5.00,KE0000000059,,41,41.5,41,39,40,"116,500","362,959,275","14,590,962,855",40.2,44.22,36.18
12/7/2023,46,35,CONSTRUCTION & ALLIED,Crown Paints Kenya Plc Ord 5.00,KE0000000141,,33,37.95,35.9,35.9,35.9,900,"142,362,000","5,110,795,800",35.9,39.49,32.31
